ICO,AR7,AR30,AR180,ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
traxia,-0.040042195,-0.472286251,-0.393549238,traxia,TMT,,15100000,5/1/2018,6/2/2018,2018q2,32,Switzerland,"Banking,Businessservices,SmartContract",1,2.2,0,0,kyc&whitelist,11,0.4,0, None,0,1,1,15000000
scanetchain,-0.194091176,-0.281941369,-2.518742126,scanetchain,SWC,10000000,200000000,4/1/2018,9/10/2018,2018q2,162,Singapore,Platform,0,2.9,0,0,0,22,0.6,,,0,1,0,5866322
rightmesh,-0.240829184,-0.455546494,-0.260956855,rightmesh,RMESH,,30000000,5/30/2018,5/31/2018,2018q2,2,Switzerland,Other,1,2.8,0,0,kyc&whitelist,10,0.300003338,,,0,1,0,30000000
eventchain,-0.771462343,-0.010669675,-0.6067969,eventchain,EVC,,,9/13/2017,10/14/2017,2017q3,31,Canada,Entertainment,1,3.4,3,1,0,8,0.65,,,0,1,0,772896
leadcoin,0.215393921,-0.606465561,-0.629874165,leadcoin,LDC,,50000000,3/1/2018,3/11/2018,2018q1,11,Gibraltar,"Businessservices,Internet,Platform",1,3.5,1,0,kyc,17,0.5,0, Estonia,0,1,0,50000000
fundrequest,-0.063126744,-0.418809368,-0.568690836,fundrequest,FND,,20000000,11/20/2017,12/1/2017,2017q4,12,Belgium,"Cryptocurrency,Banking,Platform",1,3.2,2,0,0,11,0.760560666,,,0,1,0,12000000
evedo,0.073832069,-0.000604658,-0.818244669,evedo,EVED,,2550000,5/5/2019,5/7/2019,2019q2,3,Bulgaria,"Entertainment,Platform,SmartContract",1,3,1,0,whitelist,9,0.5,0," Afghanistan, Australia, Bosnia and Herzegovina, Central African Republic, China, Democratic PeopleÉ??s Republic of Korea (North Korea), Democratic Republic of the Congo, Eritrea, Ethiopia, Guinea-Bissau, Iran, Iraq, Japan, Korea, Lebanon, Libya, Myanmar, Somalia, South Sudan, Sri Lanka, Sudan, Syria, Tunisia, United States, Vanuatu, Yemen, Zimbabwe.",0,1,0,413829
cfun,-0.3248675,-0.33251861,-0.322371021,cfun,CFUN,4500000,15000000,12/18/2017,12/19/2017,2017q4,2,Singapore,"Platform,Entertainment",0,2.7,1,0,0,6,0.5,,,0,1,0,15000000
rentberry,-0.337658523,-0.53717462,-0.785820537,rentberry,BERRY,3000000,30000000,12/5/2017,2/28/2018,2017q4,85,Gibraltar,Realestate,1,4,23,0,0,25,0.7,,,0,1,0,27500000
paymon,0.221425914,0.081579601,-0.313860815,paymon,PMNT,500000,3000000,4/20/2018,5/5/2018,2018q2,16,Russia,"Platform,Infrastructure,Cryptocurrency,Software",1,4.3,33,1,whitelist,14,0.85,1," China, USA",0,1,0,1092514
cyclean,-0.068454798,-0.577826288,-0.617410449,cyclean,CCL,22118000,46890160,6/27/2018,8/21/2018,2018q2,55,Singapore,"Cryptocurrency,Electronics,Energy,SmartContract",1,4.3,14,1,kyc&whitelist,8,0.3,1," USA, China, Singapore",0,1,0,1060000
mywish,-0.753147033,-0.395984435,-0.259579264,mywish,WISH,220000,2670000,10/25/2017,11/25/2017,2017q4,31,Russia,"Other,Platform",1,3.8,14,1,0,8,0.85,,,0,1,0,2670000
daneel,3.156893526,1.43983336,0.118634637,daneel,DAN,2000000,60000000,1/29/2018,3/5/2018,2018q1,35,Estonia,"Businessservices,Software",1,3.4,5,0,0,8,0.4,,,0,1,0,2667414
webcoin,0.676570387,0.877763281,0.888624109,webcoin,WEB,404166,11704647.36,5/1/2018,5/31/2018,2018q2,30,Bulgaria,"Businessservices,Communication,Cryptocurrency,Platform",1,2.9,4,1,kyc,8,0.36,,,0,1,1,357650
bitnation,-0.206648601,-0.737750141,-0.466590276,bitnation,,,30000000,3/25/2018,4/24/2018,2018q1,30,Switzerland,"Platform,Infrastructure",1,4,10,1,0,16,0.34,,,0,1,0,1339855
bitcoinus,-0.308720475,-0.558682709,-0.634138709,bitcoinus,BITS,3000000,50000000,1/22/2018,5/10/2018,2018q1,108,UK,"Businessservices,Banking,Cryptocurrency,Other,Platform",1,3,23,1,0,8,0.77,,,0,1,0,20534500
fabric-token,0.354952279,-0.382569739,-0.563085637,fabric-token,FT,,9000000,2/15/2018,4/1/2018,2018q1,45,Estonia,"Cryptocurrency,Platform,Businessservices,Software,Internet,SmartContract",1,3.4,11,0,kyc&whitelist,3,0.7125,1," USA, China, Singapore",0,1,0,1035986
coinchase,0.026072254,-0.40389081,,coinchase,CCH,43336,4539446,11/26/2018,5/26/2019,2018q4,181,Singapore,"Investment,Platform",1,4.1,2,1,kyc,8,0.2,1," USA, China",0,1,0,250280
internationalcryptox,-0.013584923,-0.275938857,-0.30051099,internationalcryptox,INCX,,10000000,6/11/2018,6/15/2018,2018q2,5,Singapore,"Cryptocurrency,Platform",1,2.8,0,0,0,6,0.4343,,,0,1,0,5131500
bitclave,0.759193978,-0.392091221,-0.384425317,bitclave,CAT,,25500000,11/29/2017,11/29/2017,2017q4,1,USA,Internet,0,2.7,4,1,0,19,0.5,,,0,0,0,25500000
naviaddress,-0.203432055,-0.579925234,-0.482105462,naviaddress,NAVI,,20000000,3/1/2018,3/31/2018,2018q1,30,Cayman Islands,"Internet,Communication",1,4,9,0,0,6,0.4,,,1,1,0,16900000
connectjob,-0.011821813,-0.223018339,-0.6091525,connectjob,CJT,7000000,12000000,2/12/2018,4/30/2018,2018q1,77,Gibraltar,Platform,1,3.7,6,1,0,24,0.65,,,0,1,0,10437623
incodium,-0.430205425,-0.080407259,-0.753987696,incodium,INCO,100000000,1500000000,7/17/2018,8/27/2018,2018q3,41,Singapore,"BigData,Cryptocurrency,Investment,Platform,Retail,SmartContract",1,4,2,1,0,16,0.3,,,0,1,1,4000000
bitrewards,-0.024442067,-0.235398925,-0.269130722,bitrewards,BIT Token,3000000,15000000,4/12/2018,5/31/2018,2018q2,49,Singapore,Software,1,4.4,50,0,kyc&whitelist,25,0.64,,,0,1,0,6583400
araw,0.075677182,0.834262836,-2.375143531,araw,ARAW,2000000,25000000,9/10/2018,2/15/2019,2018q3,158,UK,"Retail,Platform,Investment,Infrastructure,Cryptocurrency,Businessservices,Banking,SmartContract",0,4.2,17,1,kyc&whitelist,13,0.7,1, USA,0,1,0,2500000
iungo,-0.537382525,-0.918661069,-0.746954733,iungo,ING,,,12/7/2017,1/31/2018,2017q4,55,Lithuania,"Platform,Internet,Infrastructure,Communication,BigData,Software,SmartContract",1,3.1,23,1,0,9,0.64,,,1,1,0,23000000
emphy,-0.234061899,-1.845945689,-1.094190358,emphy,EPY,,7260000,10/7/2017,11/5/2017,2017q4,29,Estonia,"Realestate,Tourism",1,2.7,0,1,0,6,0.8,,,0,1,0,445000
sonder,-0.412185872,-0.410583344,-0.691786124,sonder,SNR,,6000000,5/22/2018,6/30/2018,2018q2,39,Lithuania,"ArtificialIntelligence,Art,Banking,BigData,Businessservices,Casino&Gambling,Charity,Communication,Cryptocurrency,Education,Electronics,Energy",1,3,14,1,0,7,0.7,1," USA, China",0,1,0,6000000
intervalue,-0.008552154,-0.001535722,-0.556351487,intervalue,INVE,,30312450,5/1/2018,6/30/2018,2018q2,60,China,"Infrastructure,Platform",1,2.9,0,0,kyc,8,0.09,,,0,0,0,20342000
joint-ventures,0.472900467,-0.612702858,-0.514716977,joint-ventures,JOINT,,4816375,4/7/2018,5/30/2018,2018q2,53,Turkey,"Internet,Media,SmartContract",1,3.6,1,0,0,10,0.162,,,0,1,0,2000000
hurify,-0.128519568,-0.469401685,-0.449119607,hurify,HUR,10367900,25919750,2/1/2018,2/28/2018,2018q1,27,Canada,Platform,1,4,5,1,kyc,6,0.6,0, Canada,0,1,1,40000000
bulleon,-0.45705328,-0.586482577,-3.031474233,bulleon,BUL,,114357673.8,1/1/2018,12/31/2018,2018q1,364,Estonia,"Investment,Cryptocurrency",1,4.3,15,1,kyc,12,0.952,0, None,0,1,0,75000
kuende,-0.080852767,0.005174453,-0.870021285,kuende,KUE,814920,5904095.4,10/19/2018,11/16/2018,2018q4,28,Switzerland,"Health,Entertainment,Cryptocurrency,Communication,Internet,Media,Platform,VirtualReality",1,4,24,1,kyc&whitelist,24,0.5,1," USA, China, Singapore",0,1,0,3220823
natmin-pure-escrow,-0.557372517,-1.249941935,-1.332029044,natmin-pure-escrow,NAT,,12000000,9/1/2018,12/31/2018,2018q3,121,Australia,"Cryptocurrency,Businessservices,Banking,Internet,Other,Platform,Software",0,4.3,9,1,kyc,14,0.6,1, USA,0,1,0,9485000
fox-trading,1.400428418,0.246093673,2.187800072,fox-trading,FOXT,500000,4500000,5/23/2018,6/8/2018,2018q2,17,Estonia,"Businessservices,Cryptocurrency,Investment,Platform,SmartContract,Software",1,3.9,10,1,kyc&whitelist,6,0.7,1, USA,0,1,1,300000
shping,-0.248413776,0.314965939,0.372694271,shping,SHPING,,,2/22/2018,3/23/2018,2018q1,29,Australia,"Cryptocurrency,Platform,Communication,Media,Retail,BigData,Electronics,Other",1,4.1,29,0,kyc&whitelist,15,0.5,,,1,1,0,6631311
payfair,-0.625663751,3.420176655,2.798383626,payfair,PFR,170000,,11/1/2017,11/30/2017,2017q4,29,Russia,"Platform,Businessservices,Cryptocurrency,Internet",1,1.8,1,1,0,8,0.66,,,0,0,0,182919
bunnytoken,0.089700847,0.769594843,-0.450607253,bunnytoken,BUNNY,,,4/25/2018,5/25/2018,2018q2,30,Seychelles,"Platform,Entertainment,Businessservices",1,2,27,1,0,21,0.7,,,0,1,1,8488950
4new,-0.243182009,-0.462037081,-0.54362397,4new,FRNC,,,6/1/2018,8/10/2018,2018q2,70,UK,,1,3.7,7,1,0,7,0.75,,,0,1,0,42100000
asura-coin,0.138456832,0.102948231,-0.589030151,asura-coin,ASA,,12000000,6/2/2018,7/31/2018,2018q2,59,New Zealand,"Entertainment,Platform,Casino&Gambling,Sports",0,4.2,4,1,kyc&whitelist,8,0.65,1," United States of America, Afghanistan, Cuba, Iran, Iraq, Libya, N. Korea, Syria, Myanmar, Haiti, Liberia, Rwanda, Somalia, Sudan, or the Democratic Republic of the Congo",0,0,0,899469
crystal-clear,-0.743536748,-1.207766087,-1.337651773,crystal-clear,CCT,593000,5930000,9/8/2017,10/8/2017,2017q3,30,Russia,"Infrastructure,Platform",1,3,0,1,0,7,0.6,,,0,1,0,3377550
bitrent,0.037823154,0.431736196,-0.595880896,bitrent,RNTB,1632890,46654000,12/1/2017,3/31/2018,2017q4,120,UK,"Platform,Retail,Infrastructure,Realestate",1,3.4,9,0,0,19,0.7,0, None,0,1,0,14627210
authorship,-0.16117014,-0.885789984,-0.944110606,authorship,ATS,500000,7000000,8/15/2017,9/14/2017,2017q3,30,USA,"Media,Platform",1,2.6,0,0,0,2,0.8,,,0,1,0,2500000
verime,-0.31363562,-0.588123311,-0.591924981,verime,VME,,30000000,3/1/2018,3/31/2018,2018q1,30,Singapore,Software,1,4.2,10,0,0,12,0.3,,,1,1,0,21720000
travelnote,-0.308934569,-0.628546993,-2.589414251,travelnote,TVNT,105035,315105,11/9/2018,11/21/2018,2018q4,13,Indonesia,Tourism,1,3,0,1,0,6,0.4,0, None,0,1,1,200000
cointorox,-0.519710111,-0.976653452,-2.41122732,cointorox,OROX,,3164175,11/15/2018,1/13/2019,2018q4,59,Estonia,"Banking,Cryptocurrency",1,2.7,0,0,0,5,0.7,,,0,1,0,1141595
fortem-capital,7.646146943,3.189545202,,fortem-capital,FCQ,2000000,42000000,7/4/2019,7/7/2019,2019q3,4,Estonia,Realestate,1,4,0,0,kyc,4,0.8,,,0,1,0,5124000
game-stars,1.064185907,0.141705777,0.441993483,game-stars,GST,2000000,7500000,5/10/2018,7/9/2018,2018q2,60,Seychelles,"Cryptocurrency,Infrastructure,Investment,Platform,Sports",1,3.3,5,1,0,1,0.65,1, USA,0,1,1,2180762
spin-protocol,-0.186753629,-0.272191465,-0.318329751,spin-protocol,SPIN,,4400000,3/19/2019,4/19/2019,2019q1,31,South Korea,Platform,1,3.2,0,0,0,9,0.25,,,0,1,0,4400000
consentium,0.104642338,-0.033910085,1.19105798,consentium,CSM,10000000,42000000,4/15/2018,4/30/2018,2018q2,16,Singapore,"Communication,Cryptocurrency",1,3.5,16,1,kyc,4,0.7,1, USA,0,1,0,42000000
playcoin,-0.178218062,0.051867964,-0.301034102,playcoin,PLY,10000000,33000000,2/15/2018,3/24/2018,2018q1,37,Hong Kong,"Casino&Gambling,Platform",0,2.8,0,1,kyc&whitelist,13,0.1,,,0,1,0,33000000
celsius,-0.348855418,-0.390498234,-0.150167817,celsius,CEL,15000000,50000000,3/16/2018,3/23/2018,2018q1,8,USA,"Platform,Banking",1,4.1,23,0,kyc&whitelist,6,0.5,1," North Korea, Syria, USA",0,1,1,50000000
iou,-0.042980587,-0.16557599,-0.104660534,iou,IOUX,,,9/18/2018,2/18/2019,2018q3,153,UK,"BigData,Businessservices,Charity,Communication,Cryptocurrency,Electronics,Entertainment,Health,Infrastructure,Internet,Investment,Media",1,4.5,4,1,kyc&whitelist,17,0.575,,,0,1,0,11700000
innovaminex,1.498588246,-0.413331517,-0.522862055,innovaminex,IN?ù,10000000,52500000,11/26/2018,1/26/2019,2018q4,61,Estonia,"Cryptocurrency,Manufacturing,Platform",0,3.7,5,1,kyc&whitelist,19,0.7,,,0,1,0,4000000
creatanium,0.093440408,0.044232596,,creatanium,CMB,10000000,150000000,6/6/2018,8/30/2018,2018q2,85,Singapore,,1,2.1,1,1,kyc,10,0.39,,,0,1,0,20778000
krypton-galaxy-coin,0.112674318,-0.222978991,,krypton-galaxy-coin,KGC,,3500000,7/31/2019,7/31/2019,2019q3,1,China,"Cryptocurrency,Platform",1,2.4,0,0,0,3,0.23,,,0,1,0,3500000
dacc,0.061289256,-0.294502882,-0.320359155,dacc,DACC,10529600,15794400,6/10/2018,7/7/2018,2018q2,27,China,Platform,1,3.7,0,1,kyc&whitelist,10,0.3,1," USA, China",0,1,1,4746941
venjocoin,4.519555045,4.303508924,5.327905136,venjocoin,VJC,,,1/1/2019,2/28/2019,2019q1,58,UK,Retail,1,2.6,0,0,whitelist,4,0.5,,,0,0,0,250000
aitheon,-0.458829869,-0.033597111,,aitheon,AIC,,87500000,4/20/2018,6/5/2018,2018q2,46,Estonia,"ArtificialIntelligence,Education,Electronics,Infrastructure,Internet,Platform,Software",1,3.8,1,1,kyc&whitelist,14,0.0857,0, None,0,1,0,25352867
izichain,-0.070349206,3.803418913,-0.885657304,izichain,IZI,695000,4170000,4/20/2019,4/25/2019,2019q2,6,Vietnam,"Banking,BigData,Businessservices,Cryptocurrency,Investment,Platform,SmartContract",1,2.8,0,1,kyc,4,0.5,,,0,1,0,2000000
nairax,-0.015955714,,,nairax,NIRX,10000000,15000000,10/2/2019,10/31/2019,2019q4,29,Nigeria,"Businessservices,Cryptocurrency,Investment,SmartContract",1,3.1,1,0,0,9,0.35,1, USA,0,1,1,1167062
idealcoin,-0.570240232,-0.681762221,,idealcoin,IDL,3000000,40932971,8/1/2018,3/18/2019,2018q3,229,Mexico,Platform,1,3.5,0,1,kyc,9,0.5891,,,0,1,0,1900000
lemochain,-0.07034445,-0.543365491,-0.419288847,lemochain,LEMO,463704,7060000,4/2/2018,5/15/2018,2018q2,43,Singapore,"Businessservices,Infrastructure",1,3.5,1,0,kyc,15,0.25,1," USA, China, South Korea",0,1,0,7003080
sparkster,-0.286199426,-0.56228223,-0.839381504,sparkster,SPARK,,,7/7/2018,7/9/2018,2018q3,3,UK,Software,1,2.7,4,0,0,20,0.67,,,0,1,0,30000000
zerobank,-0.100200523,-0.518468656,-0.65264648,zerobank,ZB,6000000,48000000,3/31/2019,3/31/2019,2019q1,1,Singapore,"Banking,Businessservices",0,3.8,1,0,kyc&whitelist,12,0.3,1," US, China, Singapore",0,1,1,3870000
aerum,-0.636439944,-0.744404204,,aerum,XRM,3000000,6000000,1/1/2019,3/31/2019,2019q1,89,Seychelles,"SmartContract,Platform,Internet,Cryptocurrency,Businessservices,Software",1,4,3,1,kyc&whitelist,12,0.2,1, USA,0,1,1,5123054
kappi-network,-0.339885292,-0.478882145,,kappi-network,KAPPI,,,9/30/2019,10/7/2019,2019q3,8,UK,"Cryptocurrency,Infrastructure,Platform",1,2.9,0,0,0,6,0.2,1," China, USA, Singapore, Belarus",0,1,0,7000000
xtrd,0.499300913,-0.084219121,-0.235769299,xtrd,XTRD,,45000000,2/20/2018,3/31/2018,2018q1,39,Cayman Islands,"Banking,Cryptocurrency,Investment,Platform,Software",1,3.9,1,0,kyc&whitelist,6,0.5,,,0,1,0,26000000
gazecoin,0.080004373,-0.287349164,0.807859466,gazecoin,GZE,2000000,35000000,12/10/2017,12/21/2017,2017q4,12,Australia,"Entertainment,Cryptocurrency",0,2.7,0,0,0,15,0.7,,,0,1,0,6215827
gamblica,-0.240694806,1.398504183,-2.524589977,gamblica,GMBC,3488800,34888000,3/1/2018,10/1/2018,2018q1,214,Malta,"SmartContract,Platform,Entertainment,Cryptocurrency,Casino&Gambling,Software",1,4.1,19,1,kyc,11,0.6,0, China,0,1,0,1371565
oath-protocol,0.904356352,1.503437135,,oath-protocol,OATH,2000000,10000000,4/11/2019,4/11/2019,2019q2,1,USA,"Retail,Legal,Internet,Infrastructure,Education,Cryptocurrency,Communication,Businessservices,BigData,SmartContract,Software",1,3.8,0,0,kyc,8,0.3,1," USA, China",0,0,0,4000000
fintab,0.029887774,-0.379713176,-0.520210307,fintab,FNTB,#REF!,3500000,12/10/2017,1/30/2018,2017q4,51,Cyprus,"Businessservices,Cryptocurrency,Investment,Platform",1,2.8,0,0,0,13,0.727,0, No,0,0,1,503184
bolttcoin,-0.000172862,-0.342023127,-2.542448526,bolttcoin,BOLTT,1347150,25000000,6/19/2019,7/3/2019,2019q2,15,Estonia,,1,4,11,0,kyc&whitelist,9,0.6,1," USA, China, Singapore",0,1,1,1223500
localcoinswap,-0.200305192,0.047182697,-0.255008101,localcoinswap,LCS,500000,20000000,4/15/2018,6/15/2018,2018q2,61,Hong Kong,"Banking,Cryptocurrency",1,4.3,7,0,0,7,0.7,0," Hong Kong, North Korea, Iran, Sudan, Syria",1,1,0,12150000
play-game,-0.215290555,0.045060951,-2.190713191,play-game,PXG,,7700000,9/24/2018,10/23/2018,2018q3,29,Indonesia,"Cryptocurrency,Entertainment,Internet,Media,Platform",1,3.9,2,1,kyc,8,0.6,0, None,0,1,1,7700000
hybridblock,-0.193947988,-0.466692814,-0.466753387,hybridblock,HYB,,50000000,5/23/2018,6/6/2018,2018q2,15,Hong Kong,"Cryptocurrency,Internet,Platform,SmartContract",1,4.2,2,1,kyc&whitelist,17,0.53,1," US, China, Canada, and New Zealand",0,1,1,47830000
medicalchain,0.031074004,-0.414922169,-0.583687836,medicalchain,MedToken,,,2/1/2018,2/1/2018,2018q1,1,UK,Health,1,4.2,52,1,kyc&whitelist,10,0.4,1, USA,0,1,0,24000000
coinlion,-0.1239306,-0.223867822,-0.456321528,coinlion,LION,900000,18000000,12/18/2017,2/25/2018,2017q4,69,USA,"Platform,Cryptocurrency,Software,Investment,Banking",1,3.2,11,0,0,16,0.5,,,0,1,0,7000000
bob-s-repair,-0.285666591,-0.555605588,-0.329928441,bob-s-repair,BOB,#REF!,22198200,4/4/2018,5/10/2018,2018q2,36,USA,Cryptocurrency,1,3.5,2,0,kyc&whitelist,10,0.5,,,1,1,0,18638214
loci-coin,-0.262690046,-0.70404421,-0.557420831,loci-coin,LOCI,,37500000,12/6/2017,12/31/2017,2017q4,25,USA,"Platform,Businessservices,Investment,Cryptocurrency",1,3.1,3,0,0,3,0.5,1, USA,0,1,0,9000000
napoleon-x,0.046327812,0.414115097,-0.037436926,napoleon-x,NPX,12274000,18411000,1/22/2018,2/28/2018,2018q1,37,France,Platform,1,3.7,23,0,0,11,0.7,,,1,1,0,12300000
true-flip,-0.320133999,-0.441366626,-2.10169242,true-flip,TFL,,15770588.75,6/28/2017,7/29/2017,2017q2,31,Costa Rica,Casino&Gambling,0,3.2,3,0,0,23,0.125,,,0,0,0,8244292
energi-token,0.077091327,-0.556061848,-0.452872772,energi-token,ETK,2000000,15000000,2/1/2018,2/1/2018,2018q1,1,Gibraltar,Energy,1,3.5,5,0,0,20,0.65,,,0,1,0,15000000
one-ledger,0.267711178,-0.550496618,-0.46359062,one-ledger,OLT,4000000,15000000,6/15/2018,6/16/2018,2018q2,2,USA,Other,1,3.1,1,0,0,9,0.35,,,0,1,0,15000000
po-et,-0.328863545,-0.469353359,0.559805373,po-et,POE,10000000,10053096,8/8/2017,9/5/2017,2017q3,28,Singapore,Media,1,2.7,1,0,0,9,0.5,,,0,1,0,10000000
educoin,-0.203438576,-0.408696173,-0.594710834,educoin,EDU,,,3/18/2018,3/25/2018,2018q1,8,Singapore,Education,1,2.4,0,0,0,6,0.5,,,0,1,0,10000000
electrify-asia,0.437135534,0.077925879,-0.491746607,electrify-asia,ELEC,,30000000,2/13/2018,3/1/2018,2018q1,17,Singapore,"Cryptocurrency,Energy,Platform,SmartContract",1,3,2,0,kyc&whitelist,9,0.5,1," USA, China, South Korea",0,1,0,30000000
blockarray,0.132875197,-0.507257878,-0.485364524,blockarray,ARY,,7700000,12/23/2017,1/14/2018,2017q4,22,USA,"Businessservices,Platform,Software,BigData",1,2.2,0,0,kyc&whitelist,4,0.6,0," China, South Korea, Russia, Venezuela, Iran, Iraq, Saudi Arabaia",0,1,0,14375000
basic-attention,0.251073017,-0.354341455,-2.565974917,basic-attention,BAT,,,5/31/2017,5/31/2017,2017q2,1,USA,Cryptocurrency,1,3.6,7,0,0,12,0.666666667,,,0,1,0,15000000
dxchain,-0.445550848,-0.409712255,-0.214555406,dxchain,DX,,,8/3/2018,8/6/2018,2018q3,4,Singapore,"BigData,Cryptocurrency,SmartContract",1,1.7,5,0,kyc&whitelist,12,0.22,,,0,0,0,3052468
bibox,0.140989491,0.908743092,1.664437495,bibox,BIX,,45351000,10/1/2017,10/31/2017,2017q4,30,USA,"Platform,Investment,Cryptocurrency",1,2.5,1,1,0,3,0.55,,,0,1,0,45882000
bitforex,-0.088465439,0.019700456,,bitforex,BF,14090100,25831850,7/27/2018,7/31/2018,2018q3,5,Seychelles,"Cryptocurrency,Platform",1,4.2,7,0,0,1,0.08,0, None,1,1,0,24000000
raiden-network,1.109245786,-0.072422106,0.134129479,raiden-network,RDN,,,10/18/2017,11/1/2017,2017q4,15,Germany,"Businessservices,Infrastructure",1,2.2,2,0,0,,0.5,,,0,1,0,33407260
sirin-labs,0.548234404,3.177313278,-0.272707932,sirin-labs,SRN,25000000,75000000,12/12/2017,12/26/2017,2017q4,15,Switzerland,"Electronics,Entertainment,Retail",0,3.6,14,1,0,42,0.4,,,0,1,0,157885825
vegawallet,-0.007974028,0.126992074,-2.008998348,vegawallet,VGW,3500000,40000000,9/17/2018,12/6/2018,2018q3,80,Malta,"Cryptocurrency,Businessservices,Platform,Software",1,4,0,0,kyc,13,0.6,,,1,1,0,6294962
aidus,-0.020300961,-0.135311704,-1.946274058,aidus,AID Token,3000000,100000000,10/1/2018,1/12/2019,2018q4,103,Hong Kong,"Banking,Businessservices,Investment,Platform",1,3.7,0,0,kyc,19,0.133,,,0,1,1,3000000
coinmetro,-0.0153506,-0.123357756,,coinmetro,XCM,50000000,300000000,2/21/2018,3/31/2018,2018q1,38,Hong Kong,"Cryptocurrency,Businessservices,Platform,Investment",1,3.5,6,0,0,9,0.5,,,0,1,1,14815330
cybr,-0.247836981,-0.159357185,,cybr,CYBR,2000000,15000000,6/23/2019,7/3/2019,2019q2,11,USA,"Businessservices,Cryptocurrency,Software",1,3.9,0,0,0,7,0.51,0, None,0,1,0,2000000
thrive,-0.063801568,-0.668628669,-0.291973788,thrive,THRT,,30975000,3/10/2018,4/5/2018,2018q1,26,Malta,"Media,Internet,Cryptocurrency,Other,Platform",1,3.4,17,1,kyc&whitelist,8,0.53,1," USA, China.",0,1,1,26000000
bitscreener,-0.015628602,-0.098468127,-0.252008475,bitscreener,BITX,696530,6720000,5/19/2018,7/4/2018,2018q2,46,Singapore,"BigData,Businessservices,Media,Software",1,4,7,1,kyc&whitelist,12,0.31,1," USA, Singapore",0,1,0,6910800
provoco,-0.216104348,-0.554799046,-0.856848116,provoco,VOCO,1062908,15184400,4/1/2018,9/7/2018,2018q2,159,Lithuania,"Entertainment,Media,Platform,SmartContract,Software",0,3.9,5,1,kyc&whitelist,21,0.51,,,0,1,1,8792160
bitnautic,0.275882226,5.181953816,-0.657388903,bitnautic,BTNT,2232600,35000000,7/11/2018,9/30/2018,2018q3,81,Switzerland,"Platform,Investment,Cryptocurrency,Businessservices,SmartContract",1,4.4,15,1,kyc&whitelist,13,0.7,,,1,1,1,16132900
alt-estate,-0.48764856,-0.510798049,-0.5354847,alt-estate,ALT Token,1000000,15000000,5/30/2018,7/31/2018,2018q2,62,British Virgin Islands,"Businessservices,Internet,Investment,Legal,Realestate,Software",1,4.1,20,1,kyc&whitelist,13,0.6,1, USA,0,1,1,4593121
wpp,-0.196496526,-1.178688018,-1.339334928,wpp,WPP,5000000,50000000,9/20/2018,12/31/2018,2018q3,102,Switzerland,"Businessservices,Cryptocurrency,Electronics,Energy,Investment,Manufacturing,Platform,SmartContract",1,4.2,17,1,0,15,0.5,1, USA,0,1,0,59780000
sola,0.562939374,0.564761264,-0.0665114,sola,SOL,750000,5000000,11/27/2017,12/22/2017,2017q4,25,Lithuania,"Platform,Communication",0,3.7,6,1,0,10,0.6,,,0,1,0,2233700
kora-network,-0.113681842,-0.1446252,-0.431015698,kora-network,KNT,100000000,300000000,5/18/2018,6/1/2018,2018q2,15,Hong Kong,"Banking,Businessservices,Communication,Cryptocurrency,Infrastructure",1,3.3,4,1,kyc&whitelist,9,0.45,1," China, USA",0,1,0,12000000
yobit,-0.115013255,-0.156803359,,yobit,YBC,2500000,7500000,8/1/2018,10/18/2018,2018q3,78,Canada,"Platform,Casino&Gambling",1,2.7,0,0,kyc,5,0.7,,,0,1,0,9736144
probit,0.063032267,0.148446669,,probit,PROB,,4500000,12/11/2018,12/12/2018,2018q4,2,Seychelles,Platform,1,3.2,0,1,0,7,0.1,,,0,1,0,110000
duo-network,0.531675433,-0.743974569,-1.568742771,duo-network,DUO,1584300,5545050,4/27/2019,4/27/2019,2019q2,1,Singapore,"Cryptocurrency,Platform",1,2.8,0,0,kyc&whitelist,8,0.4,1," China, USA",0,1,0,5100000
esports,0.002035124,-0.422144738,-0.345153912,esports,ERT,,,11/1/2017,12/1/2017,2017q4,30,Germany,Entertainment,1,3.2,4,1,0,17,0.4,1," USA, Singapore",0,1,1,5800000
usechain,-0.226126191,-0.067871998,0.07194856,usechain,USE,7132200,22120000,8/8/2018,8/13/2018,2018q3,6,Singapore,"Banking,Businessservices,Cryptocurrency,Infrastructure,Other,Platform,SmartContract",1,3.8,1,0,kyc&whitelist,9,0.45,1," China, USA",0,1,1,29000000
webn,0.134239168,0.161297226,-2.532380186,webn,WEBN,43207.5,86415,8/16/2018,11/18/2018,2018q3,94,Philippines,"Businessservices,Cryptocurrency,Infrastructure,Internet,Platform,SmartContract,Software",1,2.2,0,1,0,12,0.7,,,0,0,0,47626
dragon,-0.118429552,-0.516733126,-0.586314484,dragon,DRG,,,2/15/2018,3/15/2018,2018q1,28,British Virgin Islands,"Communication,Platform,Casino&Gambling",1,3.2,0,0,kyc,13,0.53,,,0,1,0,320000000
bitbook-1,-0.1030899,-0.542204958,0.168412482,bitbook-1,BXK,60000000,,5/2/2019,5/31/2019,2019q2,29,Costa Rica,"Casino&Gambling,Platform",1,2.8,1,1,kyc,6,0.56,1," USA, China, South Korea",1,1,0,45757253
